title,author,rating,ratingnum,category,preptime,cooktime,customtime,totaltime,servings,numberofsteps,actualsteps,totalingredients,ingredient1,ingredient2,ingredient3,ingredient4,ingredient5,ingredient6,ingredient7,source,link,ingredient8,ingredient9,ingredient10,ingredient11,ingredient12,ingredient13,ingredient14,ingredient15,ingredient16
Lebanese Kaak Recipe,Maureen Abood,5,8,Lebanese Recipes,Website did not provide,Website did not provide,Website did not provide,Website did not provide,18 cookies,12,"Warm the clarified butter and milk in a small saucepan over low heat or in the microwave just until the butter is melted (not to exceed 115°F). Add the yeast and stir to dissolve.
In the bowl of a stand mixer fitted with the hook attachment, or by hand in a large bowl, combine the sugar, flour, mahleb, anise, arak, nutmeg, sesame seeds, and salt. Slowly add the butter mixture and mix on low speed or by hand until a cohesive dough forms. Increase the speed on the mixer to knead the dough for five minutes, or by hand on the counter for 10 minutes, to form a smooth, soft dough.
Lightly oil a large bowl with the olive oil. Coat the dough in the bowl and cover with plastic wrap, then a clean kitchen towel. Set the dough in a warm spot to rise until at least doubled in size, which can take 2 to 3 hours.
To create a warm setting for the balls to rise again, place a kitchen or bread towel on the counter or on sheet pans and cover with wax paper, parchment, or plastic wrap. Divide the dough into 18 pieces by cutting or squeezing off balls about 3 oz each (2 ½ inches wide; the size can be larger or smaller, to your liking). Place the balls on the prepared area about 2 inches apart, and cover with another towel. Let the balls rise for 30 minutes.
Heat the oven to 325°F, with a rack in the center of the oven. Line two sheet pans with parchment paper and if you have more sheet pans, double the pans to prevent overbaking the bottom of the ka'ik. Dust the counter and molds lightly with flour, tapping out any excess flour from the mold.
Lightly coat a dough ball with flour, and flatten the dough into a flat circle. Press the dough into the mold with some force with your fingers and palm numerous times without lifting the dough from the mold. Push in the dough that falls over the edges as you go.
To unmold the dough, use gravity as your friend and turn the mold over. Gently peel the dough away from the edges and it will fall out into your hand. If using your hands to shape and design the top of thd dough, flatten each ball with the palm of your hand. Pinch the edges five or six times around the circle and poke with the tines of a fork over the top. Transfer the shaped dough with the design side facing up on the prepared sheet pan.
Repeat this process with the remaining dough, arranging the molded dough about 2 inches apart with six at per pan. Bake one sheet at a time, re-using the pans and parchment once they are finished.
Bake for 25-30 minutes, until golden brown. Transfer the ka'ak to cooling racks until cool.
Make the glaze while ka’ak bakes. Combine the confectioners' sugar with rose water, water, and corn syrup, stirring until the glaze falls in a ribbon off of the spoon. Add drops of water if needed to get the correct consistency. Cover with plastic wrap until you're ready to use the glaze, stirring again to smooth it out. Place parchment paper under cooling racks to catch glaze drips.
Dip the tops of the ka'ik in the glaze, letting the excess glaze run off of the ka'ik back into the bowl. Place the ka'ik on cooling racks and allow the glaze harden for at least one hour.
Serve immediately, or store in airtight containers for up to 5 days. The cookies will not be as soft over time, which is perfect for dipping them in coffee. To soften them, warm them in the microwave for 15-20 seconds right before serving.",16,▢ 3/4 cup clarified butter,▢ 1 2/3 cups whole milk,▢ 2 tablespoons rapid rise or instant yeast,▢ 1 cup granulated sugar,"▢ 5 1/2 cups unbleached all-purpose flour, plus more for dusting molds",▢ 2 tablespoons ground mahleb,▢ 1/4 cup ground anise seed,Maureen Abood,https://maureenabood.com/lebanese-kaik-recipe/,"▢ 2 tablespoons anise extract, Arak, or Ouzo",▢ 1/2 teaspoon ground nutmeg,▢ 1 tablespoon sesame seeds,▢ 1/4 teaspoon kosher salt,"▢ 1 teaspoon olive oil, to coat the bowl","▢ 3 cups confectioners’ sugar, sifted",▢ 2 teaspoons rose water,▢ 4-5 tablespoons water,▢ 2 tablespoons corn syrup
Chocolate Crinkle Cookies Recipe,Maureen Abood,5,1,Cookie Recipes,Website did not provide,Website did not provide,Website did not provide,Website did not provide,40 cookies,9,"Beat the butter in a stand mixer fitted with the paddle attachment until smooth. Add the granulated and brown sugars and beat again at medium speed until light and fluffy, about 2 minutes.
Add the eggs one at a time, beating well after each addition. Add the vanilla and orange blossom water and beat until combined.
In a medium bowl, whisk the flour, cocoa powder, baking powder, and salt. Add the flour mixture and the chopped chocolate to the butter mixture and beat on low speed until moistened, then on medium speed until combined. Scrape down the sides of the bowl as needed. 
Chill the dough, covered, for at least one hour and up to one day.
Heat the oven to 350°F if baking the cookies right away. Line 2 sheet pans with parchment or silpats. Place the confectioners' sugar in a small bowl. 
Make the dough balls by pulling off about a tablespoon of dough for each ball by hand, or using a tablespoon scooper. Shape the ball between the palms of your hand, then roll heavily in the confectioners’ sugar (shake off excess if needed).
If freezing the dough for later, place the balls in a single layer on a sheet pan or platters that will fit in the freezer. Freeze, then put the balls into ziploc bags and freeze for up to 3 months. Bake from frozen in preheated oven following the directions below, adding to baking time by a minute or two.
Place the coated balls about 2 inches apart on the lined sheet pans. Bake for about 11 minutes. Cool the cookies for 5 minutes, then transfer to a rack. Repeat this process with the remaining dough.
Store the cookies in an airtight container for up to 4 days.",12,"▢ 8 tablespoons (1 stick) unsalted butter, softened",▢ 3/4 cup granulated sugar,"▢ 1/2 cup light brown sugar, firmly packed",▢ 2 large eggs,▢ 1 teaspoon vanilla,"▢ 1 teaspoon orange blossom water, optional","▢ 1 3/4 cup unbleached, all-purpose flour",Maureen Abood,https://maureenabood.com/chocolate-crinkle-cookies-with-orange-blossom/,▢ 1/2 cup cocoa powder,▢ 1 1/2 teaspoons baking powder,▢ 1/2 teaspoon kosher salt,"▢ 3 oz. dark chocolate, chopped or chips",▢ 3/4 cup confectioners’ sugar,NA,NA,NA,NA
Blondie Bars Recipe,Maureen Abood,5,1,Dessert Recipes,Website did not provide,Website did not provide,Website did not provide,Website did not provide,36 2-inch bars,6,"Heat the oven to 350℉. Coat a 13x9x2-inch pan lightly with butter. Line with a sheet of parchment that hangs over the long sides by a couple of inches, to form a sling.
Make the browned butter. Melt the butter in a small saucepan over medium low heat. Increase the heat to medium and continue melting until the solids turn brown. Stay close, as this will happen quickly at a certain point. This will take 5-10 minutes total. Set aside to cool.
In a large bowl, whisk the eggs, vanilla, orange blossom water, tahini, and brown sugar until well-combined. Add the cooled butter and whisk to combine. 
In another smaller bowl, whisk the flour, baking powder, and salt. Use a spoon to mix the flour mixture with the batter, stirring just until combined. Stir in the chocolate chips.
Spread the batter in the prepared pan. Bake for 28-30 minutes, until the brookies are golden but still quite soft.
Cool in the pan completely, then run a knife around the edges on the short ends where there is no parchment sling. Use the hanging edges of the parchment to lift the blondies from the pan. Cut into bars or squares and serve. Store immediately in an airtight container if not serving right away.",10,"▢ 1 cup (2 sticks) unsalted butter, plus more to coat the pan",▢ 2 large eggs,▢ 1 teaspoon vanilla,▢ 1 teaspoon orange blossom water,"▢ 1/4 cup tahini, stirred before measuring","▢ 1 3/4 cups brown sugar, dark or light brown sugar","▢ 1 3/4 cups unbleached, all-purpose flour",Maureen Abood,https://maureenabood.com/blondie-bars-with-caramel/,▢ 1 1/4 teaspoons baking powder,▢ 1 1/4 teaspoons kosher salt,"▢ 3/4 cup chocolate chips, 60% cacao",NA,NA,NA,NA,NA,NA
Strawberry Jam Bars,Maureen Abood,5,2,Dessert Recipes,Website did not provide,Website did not provide,Website did not provide,Website did not provide,24 bars,5,"Heat the oven to 350°F. Coat a 9-inch square pan with lightly with butter and dust with a touch of flour, knocking out any excess. Or, line the pan with parchment with an overhang sling on two sides.
First, make the filling. In a small saucepan bring the strawberries, sugar and lemon juice to a rolling boil. Reduce the heat and simmer for about 10 minutes, stirring frequently and mashing the berries with a potato masher. Remove from the heat and stir in the rose water.
To make the base, in a medium bowl, combine the flour, brown sugar, butter, and vanilla. Mix with your fingers or using a pastry cutter or spoon. Press the dough into the bottom of the prepared pan, and bake for 15 minutes, or until the pastry is lightly browned. Immediately spread the strawberry filling over the warm pastry base, leaving about ½-inch area bare around the perimeter so the strawberry doesn’t stick to the pan.
To make the topping, use the same bowl used for the base. Combine the flour, brown sugar, walnuts, and butter using your fingers, a pastry cutter, or spoon. Sprinkle the topping evenly over the strawberry jam, leaving some spaces open for the red jam to peek through.
Bake for another 20 minutes, or until the topping and base are golden brown. Cool completely before cutting into bars.",12,▢ 2 cups coarsely chopped strawberries,▢ 1/4 cup granulated sugar,▢ Juice of 1 lemon,▢ 1 teaspoon rose water,▢ 1 1/4 cup all-purpose flour,▢ 1/3 cup firmly packed brown sugar,"▢ 1/2 cup salted butter, plus more to coat the pan, cool room temperature",Maureen Abood,https://maureenabood.com/strawberry-jam-bars/,▢ 1 teaspoon vanilla,▢ 1/2 cup all-purpose flour,▢ 1/4 cup firmly packed brown sugar,▢ 3 tablespoons chopped walnuts (optional),"▢ 3 tablespoons salted butter, room temperature",NA,NA,NA,NA
Lavender Orange Blossom Graybeh,Maureen Abood,NA,NA,Lebanese Recipes,Website did not provide,Website did not provide,Website did not provide,Website did not provide,22 2-inch cookies,5,"Heat the oven to 325°F and place a rack in the center position. Line two sheet pans with parchment paper.
In an electric mixer, beat the butter, sugar, and salt until it is very light and fluffy, almost like whipped cream, about 6 minutes.
Lower the speed and mix in the lavender and orange blossom water. Add the flour 1/2 cup at a time, and once 1 1/2 cups have been added, spoon in the flour a tablespoon or so at a time, mixing until the dough is dry but holds together. If the dough is too soft, it will not hold its shape when baked, so it’s better to err on the side of crumbly drier dough than dough that is too soft.
Shape one-third of the dough at a time into a log about an inch wide and an inch tall, squared off on top (this log is pretty narrow!). Cut the dough with a sharp knife on the diagonal to make 1 to 2-inch diamonds. Place them on the prepared sheet pan about an inch apart.
Bake one sheet at a time for 15 to 20 minutes, rotating the sheet front to back halfway through, until the cookies are light golden brown. Cool the cookies completely and store them in an airtight container for up to one week.",6,"▢ 3/4 cup (6 oz.) clarified butter, solid, at cool room temperature",▢ 3/4 cup confectioners’ sugar,▢ 1/2 teaspoon kosher salt,▢ 1 teaspoon orange blossom water,▢ 1 1/2 teaspoons ground dried lavender,▢ 1 3/4 cups plus up to 3 tablespoons unbleached all-purpose flour,NA,Maureen Abood,https://maureenabood.com/lavender-orange-blossom-shortbread-recipe-lebanese-graybeh/,NA,NA,NA,NA,NA,NA,NA,NA,NA
Sesame Cookies,Maureen Abood,4.67,3,Lebanese Recipes,Website did not provide,Website did not provide,Website did not provide,Website did not provide,56 cookies,6,"In the bowl of a stand mixer fitted with the whisk attachment, cream the butter, brown sugar, and confectioners’ sugar on medium speed until light and fluffy, 2 minutes.
Stop to scrape down the bowl. Add the vanilla and egg and beat on medium-high speed until the egg incorporates fully and the batter becomes thick and smooth, 2 more minutes.
In a medium mixing bowl, whisk together the flour, baking powder, baking soda, and sea salt. Add to the butter mixture and beat just until fully combined and no dry spots remain.
Arrange an oven rack in the middle position and preheat the oven to 350°F (165°C). Line two baking sheets with parchment paper. Finely chop the pistachios and place them in a small bowl. Place the sesame seeds in another small bowl.
Divide the dough into pieces about 9 grams each.Roll each piece into a ball between your palms, then flatten the ball slightly, about ¼-inch (6 mm) thick, in your hand. Press one side of the dough in the sesame seeds, allowing the circle to stick to your fingers. Lift and press 3 to 4 times, coating this side of the cookie with as many sesame seeds as possible. Flip over the dough disc and press it gently into the chopped pistachios, knocking off any excess.
Bake the cookies for 17-19 minutes, until golden brown. Remove the pan from the oven and cool the cookies completely before transferring them to wire racks to cool completely.",11,"▢ 2/3 cup unsalted butter, softened",▢ 1/4 cup brown sugar,▢ 1/3 cup confectioners' sugar,▢ 1 large egg,▢ 1 teaspoon pure vanilla extract,"▢ 2 cups unbleached, all purpose flour",▢ 1 1/2 teaspoons baking powder,Maureen Abood,https://maureenabood.com/lebanese-crunchy-sesame-cookies/,▢ 1/4 teaspoon baking soda,▢ 1/4 teaspoon kosher salt,"▢ 1/2 cup sesame seeds, toasted","▢ 1/2 cup pistachios, finely chopped",NA,NA,NA,NA,NA
Chocolate Sugar Cookies,Maureen Abood,NA,NA,NA,Website did not provide,Website did not provide,Website did not provide,Website did not provide,40 3-inch cookies,9,"In a large mixing bowl, whisk to combine the cocoa, flour, salt and baking powder. Set aside.
In a stand mixer fitted with the paddle attachment, beat the butter until it is smooth. Add the granulated sugar and beat again until the mixture is light and fluffy, about 3 minutes. Add the eggs and vanilla and beat again until combined. Add half of the cocoa-flour mixture, beat on low to combine, then add the rest and beat again until combined. Stop and scrape down the bowl as needed.
Turn the dough out onto the counter and divide in half. Wrap each half in plastic, shaping the dough into a flat disk. Chill for at least 1 hour and up to 2 days.
Roll out one disk of the cookie dough between two sheets of waxed paper or parchment paper. For chilled dough that is still somewhat hard, allow it to rest at room temperature for a few minutes. Tape down the waxed paper to anchor it, and roll from the center out, evenly, until the dough is 1/4- to 1/8-inch thick. Chill the rolled dough in the waxed paper layers for 15 minutes.
Arrange an oven rack in the middle position and preheat the oven to 350°F. Line 2 baking sheets with parchment paper.
Remove the rolled dough from the refrigerator and peel back and discard the top layer of paper. Dip cutters in flour (or cocoa powder) before cutting out shapes (dip each time you cut).
Transfer the shapes to the prepared baking sheets with a metal spatula. Bake for 8 minutes for 1/8-inch thick cookies and 11 minutes for 1/4-inch cookies, or until the edges are firm and the centers are slightly soft and puffed.
Press the dough scraps together and wrap in plastic. Chill and repeat the process, using fresh waxed paper each time you roll out a new batch.
Transfer baked cookies to a wire rack to cool to room temperature. Frost or sift with confectioners' sugar.",8,▢ 2/3 cup Dutch process cocoa powder,▢ 3 cups unbleached all-purpose flour,▢ 1/2 teaspoon kosher salt,▢ 1/2 teaspoon baking powder,"▢ 1 cup salted butter, room temperature",▢ 1 1/2 cups granulated sugar,▢ 2 large eggs,Maureen Abood,https://maureenabood.com/chocolate-cut-out-cookies-with-royal-icing/,▢ 1 teaspoon pure vanilla extract,NA,NA,NA,NA,NA,NA,NA,NA
Coconut Date Balls Recipe,Maureen Abood,5,3,Cookie Recipes,Website did not provide,Website did not provide,Website did not provide,Website did not provide,36 balls,7,"Line a sheet pan with parchment paper.
In a small, heavy saucepan over low heat, melt the butter with the sugar. Add the egg and combine, stirring until warmed through, about a minute. 
Add the dates and increase the heat to medium-low. Cook, stirring constantly, until the mixture is thick, 5-7 minutes. 
Remove from heat and add the rice cereal and nuts, if using. Stir until the cereal is completely coated. 
When the mixture is cool enough to handle but still very warm, shape heaping teaspoons of the mixture into cohesive balls, about 1-inch in size, between the palms of your hands.
Place the coconut in a small bowl or dish. Roll the balls immediately in coconut.
Cool, then store in an airtight container for up to 3 days.",7,▢ 4 tablespoons salted butter,▢ ½ cup granulated sugar,"▢ 1 large egg, lightly beaten","▢ 1 cup pitted Medjool dates, chopped",▢ 2 cups Rice Krispies or any crisp rice cereal,"▢ ½ cup toasted walnuts, chopped (optional)",▢ 1 cup unsweetened (desiccated) coconut,Maureen Abood,https://maureenabood.com/date-crisp-balls/,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lebanese Butter Cookies, Graybeh",Maureen Abood,5,4,Lebanese Recipes,Website did not provide,Website did not provide,Website did not provide,Website did not provide,24 cookies,5,"Heat oven to 325 degrees and place rack in the center of the oven. 
Using a stand mixer with the whisk attachment or sturdy hand-held mixer, whip the butter on high speed until fluffy, creamy and pale, about six minutes. Stop and scrape the sides of the bowl with a spatula for even whipping. Add the sugar and orange blossom water and whip until well combined and fluffy. On low speed or using a spoon, slowly blend in the flour, ½ cup at a time.
Take a large handful of the dough and shape it into a log about 1-inch tall and wide (this is pretty narrow!) on a lightly floured work surface. If the dough is crumbly, gently push it together. Use a sharp knife to cut ½-inch diamond-shaped pieces diagonally.
Place the diamonds on a parchment-lined heavy sheet pan and bake until the cookies are baked through but still pale, about 18-20 minutes. The cookies should not be browned except for very minimally on the bottom.
Remove from the oven and cool completely on the sheet pan. Sift powdered sugar over the cookies (this can be done while the cookies are warm, and again to refresh when serving). Graybeh keeps frozen for months or in an airtight container for several days.",5,"▢ 3/4 cup (6 oz.) unsalted clarified butter, at cool room temperature","▢ 3/4 cup confectioner’s sugar, plus more for dusting",▢ 1/2 teaspoon kosher salt,▢ 1 teaspoon orange blossom water,"▢ 1 3/4 cups unbleached, all-purpose flour, plus a few more tablespoons as needed",NA,NA,Maureen Abood,https://maureenabood.com/lebanese-butter-cookies-or-ghraybeh/,NA,NA,NA,NA,NA,NA,NA,NA,NA
Browned Butter Chocolate Chip Cookies,Maureen Abood,5,3,Lebanese Recipes,Website did not provide,Website did not provide,Website did not provide,Website did not provide,16 big cookies,7,"Line 2 18- by 12-inch heavy baking sheets with parchment paper. Whisk flour and baking soda in medium bowl; set aside.
Make the brown butter. In a metal or light-colored pan, heat 10 tablespoons of the butter (reserving the remaining 4 tablespoons for later) over medium-high heat until melted, about 3-5 minutes. Swirling pan frequently until butter is dark golden brown and has nutty aroma, 3-4 minutes. Take care not to burn the butter (it can happen quickly!).
In a large heatproof bowl, add the remaining 4 tablespoons butter and the hot browned butter. Stir until completely melted.
Add both sugars, salt, and vanilla to bowl with butter and whisk until fully incorporated. Add the egg and yolk and whisk until mixture is smooth with no sugar lumps remaining, about 30 seconds. Let the mixture stand 3 minutes, then whisk for 30 seconds. Repeat process of resting and whisking 2 more times for a total of four times until mixture is thick, smooth, and pale.
Use a soft spatula or wooden spoon and stir in flour mixture until just combined and no streaks of flour remain. Stir in the chocolate chips (and nuts or other mix-ins if using), giving dough final stir to ensure no flour pockets remain. Chill the dough for 20 to 30 minutes.
Arrange an oven rack in the middle position. Preheat the oven to 375°F. Divide dough into 16 portions, each about 3 tablespoons. Don’t be afraid of how big these are! Arrange them 2 inches apart on prepared baking sheets, 8 dough balls per sheet.
Bake the cookies 1 tray at a time until they are golden brown and still puffy, and the edges have begun to set but centers are still soft, 10 to 14 minutes, rotating baking sheet halfway through baking. Transfer baking sheet to wire rack; cool cookies completely before serving.",11,▢ 1 3/4 cups unbleached all-purpose flour,▢ 1/2 teaspoon baking soda,"▢ 14 tablespoons unsalted butter, (1 ¾ sticks), divided into 10 and 4 tablespoons",▢ 1/2 cup granulated sugar,"▢ 3/4 cup dark brown sugar, packed",▢ 1 teaspoon kosher salt,▢ 2 teaspoons vanilla extract,Maureen Abood,https://maureenabood.com/perfect-chocolate-chip-cookies-and-its-a-beautiful-day-in-the-neighborhood/,"▢ 1 large egg, room temperature","▢ 1 large egg yolk, room temperature","▢ 1 1/4 cups chocolate chips, 60% cacao","▢ 3/4 cup chopped pecans or walnuts, toasted, or dried cherries, (optional)",NA,NA,NA,NA,NA
Thumbprint Cookies,Maureen Abood,5,2,Lebanese Recipes,Website did not provide,Website did not provide,Website did not provide,Website did not provide,36 cookies,7,"Arrange an oven rack in the middle position and preheat the oven to 350°F (177°C). Line two baking sheets with parchment paper. In a small bowl, stir together the apricot preserves and lemon juice.
In the bowl of a stand mixer fitted with the paddle attachment or with a hand mixer, cream the butter and sugar on medium speed until light and fluffy, 3 minutes. Add the cream cheese, egg, orange blossom water, and vanilla extract and continue beating until smooth, 1 minute.Scrape down the sides of the bowl.
In a medium bowl, whisk to combine the the flour, salt, baking sods, and baking powder. Add this mixture to the butter mixture and beat on low speed just until the dough fully combines.
Divide the dough into 36 pieces, approximately 18 grams each. Between your palms, roll the pieces into balls and place them on the prepared baking sheets, 1½ inches apart. 
Moisten a thumb in water and press an indentation into the center of each ball. Parbake on baking sheet just until the cookies are set, 8 minutes. Remove the sheet from the oven and make the indentation in the cookies again with a fingertip or 1/2 teaspoon measuring spoon. Use a small spoon to fill each indentation carefully with about 4 grams ½ teaspoon of jam.
Return the sheet to the oven and bake the gems again until they turn pale golden, 10 to 12 minutes.
Cool for 5 minutes on the baking sheet, then transfer the cookies to a wire rack to cool completely before serving. Repeat with the second baking sheet.",12,"▢ 1/2 cup apricot preserves, or your favorite preserve, or a variety",▢ 2 teaspoons lemon juice,"▢ 1/2 cup unsalted butter, softened",▢ 2/3 cup granulated sugar,"▢ 5 ounces cream cheese, from a block",▢ 1 large egg,▢ 1 teaspoon pure vanilla extract,Maureen Abood,https://maureenabood.com/apricot-and-mulberry-jam-thumbprint-cookies/,"▢ 1/4 teaspoon orange blossom water, optional","▢ 2 1/4 cups unbleached, all-purpose flour",▢ 1/2 teaspoon fine sea salt,▢ 1/2 teaspoon baking soda,▢ 1/4 teaspoon baking powder,NA,NA,NA,NA
Ma’amoul Cookies Recipe,Maureen Abood,5,7,Lebanese Recipes,Website did not provide,Website did not provide,Website did not provide,Website did not provide,36 cookies,10,"Using a hand-held or stand mixer, beat the butter until it is light, fluffy, and holding peaks like whipped cream, about 6 minutes. Enjoy the beauty. Add the vanilla, orange blossom water, and 3 tablespoons of the sugar and beat for another couple of minutes.
Sift in the flour and gently incorporate it into the butter with a wooden spoon. Add the milk, and then add more flour by the tablespoon until, as Sitto says, “the dough is ready to shape.” That means you should be able to make a ball that will flatten in your floured palm without melting into your hand or without cracking. Get your hands into the dough and knead it for a minute or two. Chill the dough for 30 minutes.
Make the filling by processing the nuts until they are nearly-finely ground. Don’t take them too far or they will become paste. The nuts can also be finely chopped by hand. In a small bowl, combine the nuts with 3 tablespoons of sugar and 1 teaspoon orange blossom water, using your fingers to evenly distribute everything.
Line two heavy baking sheets with parchment or Silpats. Pre-heat the oven to 325⁰F.
To form the ma’moul, I like to press a bit of the dough in to grease the mold, then flour the ma’moul mold generously so that all grooves are coated. Pinch off about a tablespoon, walnut-sized piece of the chilled dough (larger or smaller depending on the size of your mold. A few tries will tell you how much to use). Flour the palm of your hand to prevent the dough from sticking, and flatten the dough in your palm to make a small (about 2-inch) round. Place about a teaspoon of the walnut filling in the center of the dough, then fold it over like a crescent and seal the edges. Stretch the dough a little to get the dough over the nuts to seal.
Gently nestle the stuffed dough, seam-side up (facing you), into the mold cavity. Using a light touch, press the dough into the mold—it doesn’t take much for the dough to assume the form of the mold. Flatten the exposed dough and wipe away any access with your fingers, making sure that the edge of the molded shape is clear of dough, for a defined cookie edge. You will get a feel for how much dough your mold takes, and how much filling you need, as you make a few of the cookies.
Turn the mold over and slam it against the work surface until the cookie falls out. If you need to keep slamming to work out any stress in your life, have at it.
Repeat this process with the remaining dough and cookies, moving the cookies to the sheet pans. If the dome of your cookies doesn’t seem tall enough, plump them up by nudging the dough around the base of each cookie in a bit.
Bake one pan of cookies at a time, until they are still mostly white but golden on the bottom. Check them by lifting one with a flat metal spatula after 15 minutes, and then again every minute or so for about 20 minutes, depending on the size of your cookies.
Sift confectioner’s sugar over the cookies lightly while they are still warm, and then again when they are room temperature. Store them in an airtight container, where they will stay nice for at least one week.",9,"▢ 1 cup (8 oz.) clarified butter, cool room temperature",▢ ½ teaspoon orange blossom water,▢ ½ teaspoon vanilla,▢ 3 tablespoons granulated sugar,▢ 1 tablespoon whole milk,"▢ 2 cups all-purpose unbleached flour, plus a few tablespoons for the mold","▢ 2 cups walnuts, toasted",Maureen Abood,https://maureenabood.com/lebanese-walnut-mamoul-recipe-a-holiday-stress-reliever/,▢ 3 tablespoons granulated sugar,▢ 1 cup confectioner's sugar,NA,NA,NA,NA,NA,NA,NA
Almond Graybeh,Maureen Abood,4.67,3,Lebanese Recipes,Website did not provide,Website did not provide,Website did not provide,Website did not provide,4 dozen,9,"Heat the oven to 325 degrees and place the rack in the center of the oven. Line two sheet pans with parchment or a silpat.
Using a mixer with the whisk attachment, whip the butter on high speed until fluffy, creamy and pale, about six minutes. Stop and scrape the sides of the bowl with a spatula for even whipping. Add the sugar, orange blossom water, and vanilla and whip until well combined and fluffy. 
In a small bowl, whisk the flour and salt. On low speed, slowly blend in the flour, ½ cup at a time.
To shape the cookies, pull off a heaping teaspoon of dough and roll it between the palms of your hand into a smooth ball. Smoothness is key here to avoiding cracks in the cookies when they’re baked. Form balls to fill one sheet pan with them (about an inch and a half apart; they don’t need much room to expand). 
Press an almond into the top of each ball. 
Bake the cookies for about 22 minutes, or until they are baked through but only ever-so-slightly golden and still pale on the bottom. At about 18 minutes, start checking the cookies by lifting one up with a spatula. 
Make the remaining cookie balls while the first pan bakes.
Remove the cookies from the oven and allow them to cool completely before handling them, as they will firm up as they cool. 
The graybeh will keep in an airtight container for a couple of days. They’re better eaten soon after they’re baked.",7,"▢ 3/4 cup clarified butter, solid/cool room temperature",▢ 3/4 cup confectioner’s sugar,▢ 1 teaspoon orange blossom water,"▢ 1 teaspoon vanilla (you can sub all vanilla, 2 teaspoons total, for the orange blossom water if you like)",▢ 1/4 teaspoon kosher salt,"▢ 1 3/4 cups unbleached, all-purpose flour (fluff the flour up before scooping with a spoon into the measuring cup)",▢ 3/4 cup blanched whole almonds,Maureen Abood,https://maureenabood.com/almond-graybeh/,NA,NA,NA,NA,NA,NA,NA,NA,NA
Peppermint Bark Recipe,Maureen Abood,5,1,Dessert Recipes,Website did not provide,Website did not provide,Website did not provide,Website did not provide,1 pound bark,6,"Line a baking sheet with a Silpat or parchment paper. Finely chop the dark chocolate and the white chocolate. Place each in their own heatproof bowls. Reserve 1/4 cup of chopped dark and white chocolate, in separate containers.
In a double boiler or a saucepan on which the heatproof bowls of chocolate will sit snugly, heat a couple of inches of water. Remove the pan from the heat and place the bowl of dark chocolate on top of the saucepan.
Melt the dark chocolate, stirring occasionally. Once melted, remove the bowl from the double boiler, wiping the bottom of the bowl dry. ""Seed"" the melted chocolate by adding the reserved 1/4 cup finely chopped dark chocolate and stir until fully melted. Stir in the peppermint extract or peppermint oil.
Pour the melted dark chocolate onto the prepared pan, spreading the chocolate to ¼-inch thickness. Allow the chocolate to rest for 5 minutes, then sprinkle evenly with 2 tablespoons of the crushed candy. Set aside to continue to set.
Meanwhile, melt the white chocolate in the same way as you did the dark chocolate. Work quickly so that the dark chocolate layer does not fully set. After seeding the white chocolate and that is fully melted, pour it evenly over the dark chocolate layer and spread it to the edges of the dark layer beneath it. Before sprinkling the remaining crushed peppermint candy on the white layer, sift it in a fine mesh sieve to remove any candy dust, then sprinkle the tiny pieces evenly over the white chocolate layer.
Set the pan of bark in a cool spot to set until it is hardened, 30 to 60 minutes. Cut into pieces with a serrated knife.",4,"▢ 12 oz dark chocolate bars, or dark chocolate chips, 60-70% cacao",▢ 1/2 teaspoon peppermint extract,▢ 12 oz white chocolate bars,"▢ 1/4 cup crushed peppermint candies, candy canes or peppermint lozenges",NA,NA,NA,Maureen Abood,https://maureenabood.com/peppermint-bark/,NA,NA,NA,NA,NA,NA,NA,NA,NA
